Date,State,District,Test Positivity Rate
2021-05-10,ANDAMAN AND NICOBAR ISLANDS,NICOBARS,0.20754716981132076
2021-05-10,ANDHRA PRADESH,CHITTOOR,0.35250846414281317
2021-05-10,ANDHRA PRADESH,VISAKHAPATANAM,0.34249379236292865
2021-05-10,ANDHRA PRADESH,ANANTAPUR,0.33215518992484255
2021-05-10,ANDHRA PRADESH,SRIKAKULAM,0.3203763307749443
2021-05-10,ANDHRA PRADESH,VIZIANAGARAM,0.3037679226408803
2021-05-10,ANDHRA PRADESH,SPSR NELLORE,0.28178786368689385
2021-05-10,ANDHRA PRADESH,KURNOOL,0.27963535838873166
2021-05-10,ANDHRA PRADESH,Y.S.R.,0.26572375919593827
2021-05-10,ANDHRA PRADESH,GUNTUR,0.24025021768021632
2021-05-10,ANDHRA PRADESH,KRISHNA,0.23731670318557221
2021-05-10,ANDHRA PRADESH,EAST GODAVARI,0.23442413939651507
2021-05-10,ANDHRA PRADESH,WEST GODAVARI,0.1485063824187393
2021-05-10,ARUNACHAL PRADESH,CHANGLANG,0.8823529411764706
2021-05-10,ARUNACHAL PRADESH,DIBANG VALLEY,0.8095238095238095
2021-05-10,ARUNACHAL PRADESH,NAMSAI,0.4146341463414634
2021-05-10,ARUNACHAL PRADESH,TAWANG,0.4125
2021-05-10,ARUNACHAL PRADESH,LOWER SIANG,0.3113207547169811
2021-05-10,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,0.24522292993630573
2021-05-10,ARUNACHAL PRADESH,PAPUM PARE,0.23513513513513515
2021-05-10,ARUNACHAL PRADESH,ANJAW,0.2
2021-05-10,ARUNACHAL PRADESH,SHI YOMI,0.16666666666666666
2021-05-10,ARUNACHAL PRADESH,EAST KAMENG,0.14285714285714285
2021-05-10,ARUNACHAL PRADESH,TIRAP,0.125
2021-05-10,ARUNACHAL PRADESH,KAMLE,0.1111111111111111
2021-05-10,ARUNACHAL PRADESH,LOHIT,0.10526315789473684
2021-05-10,ASSAM,NALBARI,0.39338999055712937
2021-05-10,ASSAM,KOKRAJHAR,0.2961165048543689
2021-05-10,ASSAM,DIBRUGARH,0.20576714726227185
2021-05-10,ASSAM,KAMRUP METRO,0.20280904899753405
2021-05-10,ASSAM,MARIGAON,0.18364289994008387
2021-05-10,ASSAM,KAMRUP,0.17906030336662968
2021-05-10,ASSAM,TINSUKIA,0.17878077373974208
2021-05-10,ASSAM,HOJAI,0.17660125879303962
2021-05-10,ASSAM,CACHAR,0.1563067975281716
2021-05-10,ASSAM,GOLAGHAT,0.146295422369042
2021-05-10,ASSAM,LAKHIMPUR,0.13472600666061157
2021-05-10,ASSAM,MAJULI,0.13454545454545455
2021-05-10,ASSAM,KARIMGANJ,0.12889408099688474
2021-05-10,ASSAM,BISWANATH,0.12833333333333333
2021-05-10,ASSAM,SONITPUR,0.1282773183177899
2021-05-10,ASSAM,HAILAKANDI,0.12609457092819615
