Date,State,Weekly Cases,Weekly Tests,Test Positivity Rate
2021-04-01,Andaman and Nicobar Islands,42,10841,0.004
2021-04-01,Andhra Pradesh,7381,239391,0.031
2021-04-01,Arunachal Pradesh,3,1408,0.002
2021-04-01,Assam,331,73622,0.004
2021-04-01,Bihar,1817,386560,0.005
2021-04-01,Chandigarh,1900,13830,0.137
2021-04-01,Chhattisgarh,21691,217767,0.1
2021-04-01,Delhi,12478,507436,0.025
2021-04-01,Goa,1134,14293,0.079
2021-04-01,Gujarat,15978,589785,0.027
2021-04-01,Haryana,8787,148240,0.059
2021-04-01,Himachal Pradesh,2398,43958,0.055
2021-04-01,Jammu and Kashmir,2218,231254,0.01
2021-04-01,Jharkhand,2918,83555,0.035
2021-04-01,Karnataka,22760,744429,0.031
2021-04-01,Kerala,15485,351477,0.044
2021-04-01,Lakshadweep,18,2471,0.007
2021-04-01,Madhya Pradesh,15883,172896,0.092
2021-04-01,Maharashtra,255330,1096587,0.233
2021-04-01,Manipur,34,4750,0.007
2021-04-01,Meghalaya,45,10117,0.004
2021-04-01,Mizoram,22,4893,0.004
2021-04-01,Nagaland,117,940,0.124
2021-04-01,Odisha,1851,181123,0.01
2021-04-01,Puducherry,988,14600,0.068
2021-04-01,Punjab,19958,227825,0.088
2021-04-01,Rajasthan,6609,188856,0.035
2021-04-01,Tamil Nadu,16271,589023,0.028
2021-04-01,Telangana,3985,365329,0.011
2021-04-01,Tripura,37,7958,0.005
2021-04-01,Uttar Pradesh,9510,806733,0.012
2021-04-01,Uttarakhand,1839,78817,0.023
2021-04-01,West Bengal,5808,160280,0.036
2021-04-02,Andaman and Nicobar Islands,41,10623,0.004
2021-04-02,Andhra Pradesh,7685,229903,0.033
2021-04-02,Arunachal Pradesh,3,1220,0.002
2021-04-02,Assam,357,71832,0.005
2021-04-02,Bihar,2268,398744,0.006
2021-04-02,Chandigarh,1939,13988,0.139
2021-04-02,Chhattisgarh,23200,213467,0.109
2021-04-02,Delhi,14538,509849,0.029
2021-04-02,Goa,1301,14199,0.092
2021-04-02,Gujarat,16428,608892,0.027
2021-04-02,Haryana,9326,149048,0.063
2021-04-02,Himachal Pradesh,2453,41177,0.06
2021-04-02,Jammu and Kashmir,2525,242311,0.01
2021-04-02,Jharkhand,3304,91254,0.036
2021-04-02,Karnataka,25185,751091,0.034
2021-04-02,Kerala,16168,351008,0.046
2021-04-02,Lakshadweep,19,2301,0.008
2021-04-02,Madhya Pradesh,16569,170906,0.097
2021-04-02,Maharashtra,266341,1123280,0.237
2021-04-02,Manipur,33,4866,0.007
2021-04-02,Meghalaya,53,11334,0.005
2021-04-02,Mizoram,24,4909,0.005
2021-04-02,Nagaland,132,1106,0.119
2021-04-02,Odisha,2078,183177,0.011
2021-04-02,Puducherry,1105,15032,0.074
2021-04-02,Punjab,19709,231938,0.085
2021-04-02,Rajasthan,7178,193735,0.037
2021-04-02,Tamil Nadu,17590,590036,0.03
2021-04-02,Telangana,4432,367124,0.012
2021-04-02,Tripura,41,8745,0.005
2021-04-02,Uttar Pradesh,11435,809478,0.014
2021-04-02,Uttarakhand,2017,75040,0.027
2021-04-02,West Bengal,6895,163232,0.042
2021-04-03,Andaman and Nicobar Islands,54,9898,0.005
2021-04-03,Andhra Pradesh,8136,218467,0.037
2021-04-03,Arunachal Pradesh,4,1146,0.003
2021-04-03,Assam,379,78794,0.005
2021-04-03,Bihar,2909,403695,0.007
2021-04-03,Chandigarh,1955,14488,0.135
2021-04-03,Chhattisgarh,25856,214765,0.12
2021-04-03,Delhi,16547,497763,0.033
2021-04-03,Goa,1350,13782,0.098
2021-04-03,Gujarat,16967,637841,0.027
2021-04-03,Haryana,9902,155225,0.064
2021-04-03,Himachal Pradesh,2455,37889,0.065
2021-04-03,Jammu and Kashmir,2755,250029,0.011
2021-04-03,Jharkhand,3837,101169,0.038
2021-04-03,Karnataka,26672,767505,0.035
2021-04-03,Kerala,16654,343499,0.048
2021-04-03,Lakshadweep,26,2330,0.011
2021-04-03,Madhya Pradesh,17266,171436,0.101
2021-04-03,Maharashtra,280062,1150373,0.243
2021-04-03,Manipur,39,5057,0.008
2021-04-03,Meghalaya,75,10916,0.007
2021-04-03,Mizoram,24,4665,0.005
2021-04-03,Nagaland,133,984,0.135
2021-04-03,Odisha,2320,181049,0.013
2021-04-03,Puducherry,1168,14312,0.082
2021-04-03,Punjab,19590,232618,0.084
2021-04-03,Rajasthan,8001,185521,0.043
2021-04-03,Sikkim,25,1539,0.016
2021-04-03,Tamil Nadu,18947,586941,0.032
2021-04-03,Telangana,5015,368800,0.014
2021-04-03,Tripura,33,8478,0.004
2021-04-03,Uttar Pradesh,13572,835700,0.016
2021-04-03,Uttarakhand,2199,77433,0.028
2021-04-03,West Bengal,7819,164933,0.047
2021-04-04,Andaman and Nicobar Islands,63,10008,0.006
2021-04-04,Andhra Pradesh,8861,218397,0.041
2021-04-04,Arunachal Pradesh,4,1170,0.003
2021-04-04,Assam,400,80537,0.005
2021-04-04,Bihar,3422,405624,0.008
2021-04-04,Chandigarh,2000,14972,0.134
2021-04-04,Chhattisgarh,28953,216990,0.133
2021-04-04,Delhi,18699,504726,0.037
2021-04-04,Goa,1484,14072,0.105
2021-04-04,Gujarat,17572,668845,0.026
2021-04-04,Haryana,10414,159908,0.065
2021-04-04,Himachal Pradesh,2582,37178,0.069
2021-04-04,Jammu and Kashmir,3019,260593,0.012
2021-04-04,Jharkhand,4310,104109,0.041
2021-04-04,Karnataka,28143,781058,0.036
2021-04-04,Kerala,17240,341441,0.05
2021-04-04,Lakshadweep,26,2666,0.01
2021-04-04,Madhya Pradesh,18168,174658,0.104
2021-04-04,Maharashtra,296722,1181770,0.251
2021-04-04,Manipur,38,5740,0.007
2021-04-04,Meghalaya,90,11250,0.008
2021-04-04,Mizoram,25,3807,0.007
2021-04-04,Nagaland,133,1071,0.124
2021-04-04,Odisha,2501,184834,0.014
2021-04-04,Puducherry,1258,14708,0.086
2021-04-04,Punjab,19726,232000,0.085
2021-04-04,Rajasthan,8649,198600,0.044
2021-04-04,Tamil Nadu,20334,584382,0.035
2021-04-04,Telangana,5801,373831,0.016
2021-04-04,Tripura,47,8894,0.005
2021-04-04,Uttar Pradesh,16261,866979,0.019
2021-04-04,Uttarakhand,2383,96765,0.025
2021-04-04,West Bengal,8949,165156,0.054
2021-04-05,Andaman and Nicobar Islands,64,10133,0.006
2021-04-05,Andhra Pradesh,9190,217750,0.042
2021-04-05,Arunachal Pradesh,6,1404,0.004
2021-04-05,Assam,430,91029,0.005
2021-04-05,Bihar,4118,407980,0.01
2021-04-05,Chandigarh,2011,15207,0.132
2021-04-05,Chhattisgarh,34832,248760,0.14
2021-04-05,Delhi,20343,499924,0.041
2021-04-05,Goa,1603,14661,0.109
2021-04-05,Gujarat,18480,714233,0.026
2021-04-05,Haryana,11459,165002,0.069
2021-04-05,Himachal Pradesh,2828,39244,0.072
2021-04-05,Jammu and Kashmir,3226,266284,0.012
2021-04-05,Jharkhand,5241,113981,0.046
2021-04-05,Karnataka,30630,791690,0.039
2021-04-05,Kerala,18048,344255,0.052
2021-04-05,Lakshadweep,29,2849,0.01
2021-04-05,Madhya Pradesh,19243,182798,0.105
2021-04-05,Maharashtra,312367,1220604,0.256
2021-04-05,Manipur,37,6420,0.006
2021-04-05,Meghalaya,92,9819,0.009
2021-04-05,Mizoram,26,3995,0.007
2021-04-05,Nagaland,132,1131,0.117
2021-04-05,Odisha,2866,186588,0.015
2021-04-05,Puducherry,1313,15946,0.082
2021-04-05,Punjab,19550,231033,0.085
2021-04-05,Rajasthan,10176,207013,0.049
2021-04-05,Tamil Nadu,21727,583734,0.037
2021-04-05,Telangana,6495,382971,0.017
2021-04-05,Tripura,47,8428,0.006
